Code,Age,Household Number,Household with Children Number,Household with Children Ratio
78209,39.7,43118,6649,0.15420474
30606,33.2,45952,5199,0.113139798
92647,36.9,62877,7924,0.126023824
75150,33.2,61332,8083,0.131790908
32809,35.5,29412,2760,0.093839249
30721,34.5,54548,8446,0.154836108
95610,36.9,46810,5668,0.121085238
89103,37,54318,4854,0.089362642
32810,33.8,38273,3438,0.089828339
29303,31.3,25735,2185,0.084903827
43026,35.7,63734,11691,0.183434274
50021,34.2,28614,5107,0.178479066
31210,38,34603,4549,0.13146259
32765,35.3,64969,10744,0.165371177
92335,29.6,100389,15209,0.151500662
85323,30.2,44447,6509,0.146444079
54701,34.3,41319,5482,0.132675041
61265,41.1,43946,5580,0.126974014
29621,43.7,41686,5808,0.139327352
31093,37.2,27610,3187,0.115429192
44646,43.2,47954,6523,0.136026192
44256,42.7,64189,11466,0.178628737
33015,39.1,67923,7350,0.108210768
85201,31.5,54700,6640,0.121389397
92020,35.5,60394,9852,0.163128788
28303,34.8,30214,2773,0.091778646
60123,36.4,49481,6879,0.139023059
97402,36.6,52880,5579,0.105503026
43055,39.4,63349,7351,0.116039716
89121,40.6,63879,5587,0.087462233
15317,42.7,39444,6659,0.168821621
40207,42.7,30557,4583,0.149982001
57006,25.2,26815,3643,0.135856797
44691,41.2,45687,5392,0.118020443
66502,25.4,45885,4097,0.089288438
92627,35.6,63849,8618,0.134974706
89147,39.4,56474,5192,0.091936112
31211,40.8,15427,1189,0.077072665
22407,37.8,59467,9832,0.165335396
62401,40.3,19092,2603,0.136339828
85306,37.3,25798,2362,0.091557485
32828,34.3,70255,11719,0.166806633
77065,35.7,38205,5058,0.132391048
92832,34,26118,3900,0.149322306
29072,39.1,61572,12581,0.20432989
29673,39.3,29608,4049,0.13675358
77063,32.7,39677,4661,0.117473599
43240,33.5,4459,637,0.142857143
85018,38.1,38892,5564,0.143062841
94546,42.4,44862,6666,0.148589006
43213,34.6,33491,2426,0.072437371
85048,39.8,36155,6406,0.177181579
99202,31,21137,1690,0.079954582
24502,28.5,46546,4928,0.105873759
47150,39.6,48434,4917,0.101519594
90805,31.5,97042,12505,0.12886173
78666,25.7,83827,6544,0.07806554
85301,30.1,69327,8549,0.123314149
50010,29.5,34537,4324,0.125199062
48507,37.9,31095,2246,0.072230262
94538,36.1,68209,10242,0.150156138
49525,39.4,30346,4892,0.161207408
45040,40.8,55488,11798,0.212622549
99207,33.8,30742,3362,0.109361785
71913,45.2,47624,4475,0.093965228
44129,40.3,28903,3066,0.106078954
80210,34.5,37491,4766,0.127123843
33463,35.3,64270,8494,0.132161195
92879,34.8,48394,7376,0.152415589
46219,38.9,37342,3875,0.103770553
55109,36.9,34520,4306,0.124739282
93065,40.4,72615,11174,0.153880052
70301,34.5,46494,5739,0.123435282
44709,41.2,19304,1996,0.103398259
80228,40,34483,4494,0.130325088
21228,44.4,48721,6572,0.134890499
73160,34,60158,9084,0.15100236
79925,35.7,40048,4434,0.110717139
92108,32.2,22523,1933,0.085823381
27705,32.2,50048,4375,0.087416081
58201,32.6,41086,5705,0.138855084
90505,42.3,37625,6418,0.170578073
91702,31,62743,7167,0.114227882
15904,46.4,16116,1907,0.11832961
89122,37.6,50141,5401,0.10771624
46825,36,29828,3684,0.123508113
95035,36.7,80523,12829,0.159320939
90280,32.2,95674,11936,0.124756987
68134,36.5,29983,3625,0.120901844
89502,35.5,45788,4883,0.106643662
78130,36.6,78244,12213,0.156088646
92064,41.4,50348,8793,0.174644474
85295,31.9,48312,11490,0.237829111
60714,48.9,29841,3653,0.122415469
24018,44.5,38759,5162,0.133181971
37072,41.6,31835,2993,0.09401602
31061,36,43593,3306,0.075837864
85308,41,67433,8848,0.131211721
58601,34.1,27158,5236,0.192797702
38128,30.2,45514,3681,0.080876214
97045,41.1,56863,8900,0.15651654
43228,33.2,56751,8245,0.145283784
75219,36.1,25394,1147,0.04516815
27103,37.8,35066,3725,0.106228255
87111,44.1,57730,6540,0.113285986
46802,32.8,10699,517,0.048322273
90640,36.5,63414,6732,0.106159523
73128,33.3,4719,769,0.162958254
30329,31.1,28692,3581,0.124808309
63010,39.7,36279,4981,0.137297059
44130,44.9,50255,5651,0.112446523
21801,36.5,30191,3662,0.121294425
30135,38.1,68448,10813,0.157973936
92503,34,96593,13395,0.138674645
85022,38.7,52486,5073,0.096654346
85382,44.1,39314,5550,0.141171084
85344,41.5,10609,774,0.072956923
46901,40.4,39812,4793,0.120390837
85040,29.4,35587,4436,0.124652261
85345,35.6,57976,7333,0.126483372
44708,43.9,25702,2780,0.108162789
93309,32.1,59176,6617,0.111818981
85741,36,35192,4147,0.117839282
78840,32.5,48459,7391,0.152520688
76033,39,26365,3771,0.143030533
49423,35.8,45531,5984,0.13142694
32304,22.2,50471,815,0.016147887
32819,39.7,28143,3055,0.108552748
29418,39.5,21694,1742,0.0802987
60177,38.2,23564,3948,0.167543711
47201,37.3,45320,6707,0.147992056
28645,45.7,46736,5322,0.113873673
19720,39.9,60314,7207,0.119491329
2301,35.6,64111,6710,0.104662226
92705,39.6,47813,8310,0.173802104
48162,44,27960,3380,0.120886981
97005,36,26616,2773,0.104185452
49080,41.5,16336,2778,0.170053869
95050,34.5,39121,5078,0.129802408
17111,41.4,32979,4048,0.122744777
75119,35.3,28909,4819,0.166695493
37203,30.8,15255,300,0.019665683
93274,29,74807,14530,0.19423316
26301,42.2,29083,3111,0.106969707
30101,38.4,60164,11709,0.194618044
4330,45.9,25992,1966,0.075638658
15601,48.2,57576,6539,0.113571627
38118,29.8,39595,3194,0.080666751
43015,36.9,57213,10181,0.177949068
32803,38.4,20367,1688,0.082879167
32308,42.8,22269,2908,0.130585118
92704,33.2,89284,11941,0.133741768
5403,42.1,18965,2166,0.114210388
46227,35.1,55474,6262,0.11288171
73644,34.9,14380,2408,0.167454798
37863,46.2,6785,573,0.084450995
70401,30.1,19891,2090,0.105072646
78613,36.1,82836,18281,0.220689072
85302,36.2,40624,3400,0.083694368
18103,38.9,46899,5692,0.121367193
70737,36.6,43805,6426,0.146695583
23454,37.9,59546,7824,0.131394216
60914,34.9,30122,4159,0.138071841
31707,34.7,25682,1951,0.075967604
43230,37,59755,9320,0.155970212
30501,32.2,31466,4349,0.138212674
33612,33.5,52309,4374,0.083618498
83642,37.6,46696,9204,0.197104677
60618,34.8,95942,14735,0.153582373
17404,38.1,36290,4975,0.137090107
49418,36.4,28832,4932,0.171059933
40219,37.2,40543,4476,0.110401302
62040,42.4,42608,4309,0.101131243
60115,25.5,45761,3470,0.075828762
91351,37.4,33067,5154,0.155865364
84020,33.2,48523,12600,0.259670672
70380,38.6,21284,2516,0.118210863
77002,33.8,15783,62,0.003928277
92626,35.7,51156,6048,0.118226601
92128,44.5,51917,8147,0.156923551
30907,40.8,52821,8090,0.153158782
37188,38.5,15599,2650,0.169882685
93551,38.6,51152,8155,0.159426806
87109,40.6,39392,3365,0.085423436
85374,54.8,48958,4242,0.086645696
30906,34.9,60259,3899,0.064704028
52402,36.2,41984,5673,0.135122904
90706,35,78037,10703,0.137152889
90630,42.2,49741,7788,0.156571038
95008,39.4,46857,7040,0.150244361
90631,37.6,69817,9528,0.13647106
65807,31.4,58736,4024,0.068509943
89119,35.2,52949,4081,0.077074166
30909,33.6,41711,4643,0.111313562
75007,40.2,56105,7976,0.142162018
92324,31.9,60626,8316,0.137168871
68847,35.7,17005,2489,0.146368715
55379,35.2,45553,9105,0.199877066
92708,44.7,57574,8069,0.140150068
45231,42.1,41069,3793,0.092356765
67801,31.3,31291,6420,0.205170816
48906,37.6,26678,3242,0.121523353
37312,41.3,35447,4466,0.125990916
65203,36.2,57989,9403,0.162151443
19140,35.4,52330,2439,0.046608064
91950,34.7,63544,5832,0.091778925
97006,33.6,74877,11478,0.153291398
48180,38.4,62048,5699,0.091848247
48170,46.9,39900,6008,0.150576441
99301,30.3,80689,16436,0.203695671
89104,38.3,39873,3644,0.091390164
42134,39.2,17893,2323,0.129827307
21237,39.5,30457,3719,0.122106576
30080,34.1,57689,7565,0.131134185
21502,43.8,42853,3695,0.086225002
37343,42.3,43192,6142,0.14220226
37421,39.9,52823,6566,0.124301914
70816,32.9,43385,4361,0.100518612
57104,33.2,26510,2770,0.104488872
80601,33.8,41210,7606,0.184566853
76710,37.2,25107,2533,0.100888199
42240,38.2,41474,5058,0.121955924
76087,43,28062,5065,0.180493194
72901,37.3,21771,2232,0.102521703
72712,33.5,57916,13596,0.234753781
93003,40.4,52192,6540,0.12530656
33174,42,34778,1962,0.056414975
91748,41.3,47592,5592,0.117498739
53704,36.8,46592,4975,0.106777988
73071,28.6,43968,5112,0.116266376
55420,38.8,21880,2770,0.126599634
45324,31.8,41312,3233,0.078258133
33144,48.6,29664,1908,0.064320388
75149,33.5,57088,6905,0.120953615
57106,34.3,47888,8162,0.170439359
74133,37.2,46873,6217,0.132634992
25801,42.1,32821,3549,0.108131989
19124,31.3,71070,5712,0.080371465
33063,47,55303,4239,0.076650453
32216,37.7,38648,4270,0.110484372
37115,36.6,40783,3772,0.092489518
74701,34.7,25891,3369,0.130122436
44035,41,64023,5267,0.08226731
47546,41,21772,3656,0.167922102
33130,38.2,30061,2327,0.077409268
91107,42.4,32857,4308,0.131113614
92660,46,35832,5971,0.166638759
95350,37,54801,7362,0.134340614
77024,43.5,38606,7865,0.20372481
30318,30.9,56721,4247,0.074875267
30240,36.2,29639,3457,0.116636864
33823,39.5,33981,3824,0.112533475
62704,39.9,41115,4311,0.104852244
75605,41,30833,3999,0.129698699
